l,N,k,d,output_degree,output_gate
2,4,2,2,deg2,CZ
2,4,3,2,deg2,CZ
2,6,1,2,deg1,S
2,6,2,2,deg1,S
2,6,4,2,deg2,CZ
2,7,1,3,deg1,S
2,8,4,2,deg1,S
2,8,6,2,deg2,CZ
2,8,7,2,deg2,CZ
2,10,6,2,deg1,S
2,11,5,2,deg1,S
2,12,2,2,deg2,CZ
2,12,3,2,deg1,S
2,12,3,2,deg2,CZ
2,12,4,2,deg1,S
2,13,3,2,deg1,S
2,14,1,2,deg1,S
2,14,2,2,deg1,S
2,15,1,3,deg1,S
2,16,6,2,deg1,S
2,18,4,2,deg2,CZ
2,18,5,2,deg1,S
2,19,5,2,deg1,S
2,20,4,2,deg1,S
2,21,2,2,deg1,S
2,22,2,2,deg1,S
2,22,5,2,deg2,CZ
2,24,4,2,deg1,S
2,24,6,2,deg2,CZ
2,24,7,2,deg1,S
2,25,3,2,deg1,S
2,25,7,2,deg1,S
2,26,2,2,deg1,S
2,26,6,2,deg1,S
2,27,1,3,deg1,S
2,28,2,2,deg2,CZ
2,28,3,2,deg1,S
2,28,3,2,deg2,CZ
2,29,3,2,deg1,S
2,30,1,2,deg1,S
2,30,2,2,deg1,S
2,31,1,3,deg1,S
2,32,4,2,deg1,S
2,35,3,2,deg2,CZ
2,35,4,2,deg1,S
2,36,3,2,deg2,CZ
2,36,4,2,deg1,S
2,42,2,2,deg1,S
2,42,4,2,deg2,CZ
2,42,5,2,deg1,S
2,43,5,2,deg1,S
2,44,4,2,deg1,S
2,44,7,2,deg2,CZ
2,45,2,2,deg1,S
2,46,2,2,deg1,S
2,46,6,2,deg1,S
2,49,5,2,deg2,CZ
2,49,6,2,deg1,S
2,50,5,2,deg2,CZ
2,50,6,2,deg1,S
2,52,6,2,deg1,S
2,56,6,2,deg2,CZ
2,56,7,2,deg1,S
2,57,3,2,deg1,S
2,57,7,2,deg1,S
2,58,5,2,deg2,CZ
2,58,6,2,deg1,S
2,60,2,2,deg2,CZ
2,60,3,2,deg1,S
2,60,3,2,deg2,CZ
2,60,4,2,deg1,S
2,61,3,2,deg1,S
2,62,1,2,deg1,S
2,62,2,2,deg1,S
2,63,1,3,deg1,S
2,63,7,2,deg2,CZ
2,64,7,2,deg2,CZ
2,66,6,2,deg1,S
2,72,4,2,deg1,S
2,73,3,2,deg1,S
2,75,3,2,deg2,CZ
2,75,4,2,deg1,S
2,76,3,2,deg2,CZ
2,76,4,2,deg1,S
2,77,5,2,deg2,CZ
2,80,7,2,deg2,CZ
2,82,6,2,deg1,S
2,83,5,2,deg1,S
2,84,4,2,deg1,S
2,87,5,2,deg1,S
2,90,4,2,deg2,CZ
2,90,5,2,deg1,S
2,91,5,2,deg1,S
2,91,6,2,deg1,S
2,92,4,2,deg1,S
2,92,6,2,deg1,S
2,93,2,2,deg1,S
2,94,2,2,deg1,S
2,98,2,2,deg1,S
2,102,5,2,deg2,CZ
2,105,5,2,deg2,CZ
2,105,6,2,deg1,S
2,105,7,2,deg2,CZ
2,106,5,2,deg2,CZ
2,106,6,2,deg1,S
2,113,7,2,deg1,S
2,120,6,2,deg2,CZ
2,120,7,2,deg1,S
2,122,6,2,deg1,S
2,124,2,2,deg2,CZ
2,124,3,2,deg1,S
2,124,3,2,deg2,CZ
2,124,6,2,deg1,S
2,125,3,2,deg1,S
2,126,1,2,deg1,S
2,126,2,2,deg1,S
2,127,1,3,deg1,S
2,130,5,2,deg2,CZ
2,132,4,2,deg1,S
2,132,7,2,deg2,CZ
2,133,3,2,deg1,S
2,134,2,2,deg1,S
2,135,1,3,deg1,S
2,135,7,2,deg2,CZ
2,136,4,2,deg1,S
2,147,5,2,deg1,S
2,154,6,2,deg1,S
2,155,3,2,deg2,CZ
2,155,4,2,deg1,S
2,156,3,2,deg2,CZ
2,156,4,2,deg1,S
2,157,7,2,deg1,S
2,161,3,2,deg1,S
2,165,5,2,deg2,CZ
2,168,4,2,deg1,S
2,168,7,2,deg2,CZ
2,170,6,2,deg1,S
2,171,5,2,deg1,S
2,186,4,2,deg2,CZ
2,186,5,2,deg1,S
2,187,5,2,deg1,S
2,188,4,2,deg1,S
2,189,2,2,deg1,S
2,190,2,2,deg1,S
2,195,6,2,deg1,S
2,196,4,2,deg1,S
2,196,6,2,deg1,S
2,206,2,2,deg1,S
2,217,5,2,deg2,CZ
2,217,6,2,deg1,S
2,218,5,2,deg2,CZ
2,225,7,2,deg2,CZ
2,248,6,2,deg2,CZ
2,252,2,2,deg2,CZ
2,252,3,2,deg1,S
2,252,3,2,deg2,CZ
2,253,3,2,deg1,S
2,254,1,2,deg1,S
2,254,2,2,deg1,S
2,255,1,3,deg1,S
2,260,6,2,deg1,S
2,262,5,2,deg2,CZ
2,266,5,2,deg2,CZ
2,268,4,2,deg1,S
2,269,3,2,deg1,S
2,270,2,2,deg1,S
2,271,1,3,deg1,S
2,277,3,2,deg1,S
2,280,4,2,deg1,S
2,308,7,2,deg2,CZ
2,315,3,2,deg2,CZ
2,315,4,2,deg1,S
2,316,3,2,deg2,CZ
2,316,4,2,deg1,S
2,330,6,2,deg1,S
2,333,3,2,deg1,S
2,341,5,2,deg2,CZ
2,344,7,2,deg2,CZ
2,346,6,2,deg1,S
2,347,5,2,deg1,S
2,378,4,2,deg2,CZ
2,378,5,2,deg1,S
2,380,4,2,deg1,S
2,381,2,2,deg1,S
2,382,2,2,deg1,S
2,403,6,2,deg1,S
2,406,2,2,deg1,S
2,441,5,2,deg2,CZ
2,508,2,2,deg2,CZ
2,508,3,2,deg1,S
2,508,3,2,deg2,CZ
2,509,3,2,deg1,S
2,510,1,2,deg1,S
2,510,2,2,deg1,S
2,511,1,3,deg1,S
2,516,6,2,deg1,S
2,522,5,2,deg2,CZ
2,524,4,2,deg1,S
2,525,3,2,deg1,S
2,526,2,2,deg1,S
2,527,1,3,deg1,S
2,635,3,2,deg2,CZ
2,635,4,2,deg1,S
2,636,3,2,deg2,CZ
2,660,7,2,deg2,CZ
2,682,6,2,deg1,S
2,693,5,2,deg2,CZ
2,762,4,2,deg2,CZ
2,765,2,2,deg1,S
2,766,2,2,deg1,S
2,1020,2,2,deg2,CZ
2,1020,3,2,deg1,S
2,1020,3,2,deg2,CZ
2,1022,1,2,deg1,S
2,1022,2,2,deg1,S
2,1023,1,3,deg1,S
2,1275,3,2,deg2,CZ
2,1533,2,2,deg1,S
2,2044,2,2,deg2,CZ
2,2046,1,2,deg1,S
3,8,3,2,deg3,CCZ
3,8,4,2,deg3,CCZ
3,12,2,2,deg2,CS
3,12,3,2,deg3,CCZ
3,14,1,2,deg1,T
3,14,2,2,deg1,T
3,15,1,3,deg1,T
3,18,4,2,deg3,CCZ
3,20,4,2,deg1,T
3,24,3,2,deg3,CCZ
3,24,4,2,deg3,CCZ
3,24,6,2,deg3,CCZ
3,26,6,2,deg1,T
3,28,2,2,deg2,CS
3,28,3,2,deg1,T
3,28,3,2,deg3,CCZ
3,29,3,2,deg1,T
3,30,1,2,deg1,T
3,30,2,2,deg1,T
3,31,1,3,deg1,T
3,42,4,2,deg3,CCZ
3,42,5,2,deg1,T
3,43,5,2,deg1,T
3,44,4,2,deg1,T
3,45,2,2,deg1,T
