Sequential distillation factory search
l in [2, 3, 4], n <= 8, s_j in {1,2,3,4} per step

=== Case A: all signs +1 ===
  l  n   k   d   N    J   s             signs         
  2  4   3   2   4    1   (2)           (+)           
  2  4   2   2   6    2   (2,2)         (+,+)         
  2  4   2   2   5    2   (2,3)         (+,+)         
  2  5   4   2   8    1   (2)           (+)           
  2  5   3   2   12   2   (2,2)         (+,+)         
  3  5   2   2   14   3   (2,2,2)       (+,+,+)       
  3  5   2   2   13   3   (2,2,3)       (+,+,+)       
  2  6   5   2   16   1   (2)           (+)           
  2  6   4   2   24   2   (2,2)         (+,+)         
  3  6   3   2   28   3   (2,2,2)       (+,+,+)       
  4  6   2   2   30   4   (2,2,2,2)     (+,+,+,+)     
  4  6   2   2   29   4   (2,2,2,3)     (+,+,+,+)     
  2  7   6   2   32   1   (2)           (+)           
  2  7   6   2   16   1   (4)           (+)           
  2  7   5   2   48   2   (2,2)         (+,+)         
  3  7   4   2   56   3   (2,2,2)       (+,+,+)       
  4  7   3   2   60   4   (2,2,2,2)     (+,+,+,+)     
  2  8   7   2   64   1   (2)           (+)           
  2  8   7   2   36   1   (4)           (+)           
  2  8   6   2   96   2   (2,2)         (+,+)         
  2  8   6   2   80   2   (2,4)         (+,+)         
  3  8   5   2   112  3   (2,2,2)       (+,+,+)       
  4  8   4   2   120  4   (2,2,2,2)     (+,+,+,+)     

=== Case B: signs in {+1, -1} per step ===
  l  n   k   d   N    J   s             signs         
  2  4   3   2   4    1   (2)           (+)           
  2  4   2   2   6    2   (2,2)         (+,+)         
  2  4   2   2   5    2   (2,3)         (+,+)         
  2  5   4   2   8    1   (2)           (+)           
  2  5   3   2   12   2   (2,2)         (+,+)         
  3  5   2   2   14   3   (2,2,2)       (+,+,+)       
  3  5   2   2   13   3   (2,2,3)       (+,+,+)       
  2  6   5   2   16   1   (2)           (+)           
  2  6   4   2   24   2   (2,2)         (+,+)         
  3  6   3   2   28   3   (2,2,2)       (+,+,+)       
  4  6   2   2   30   4   (2,2,2,2)     (+,+,+,+)     
  4  6   2   2   29   4   (2,2,2,3)     (+,+,+,+)     
  2  7   6   2   32   1   (2)           (+)           
  2  7   6   2   16   1   (4)           (+)           
  2  7   5   2   48   2   (2,2)         (+,+)         
  3  7   4   2   56   3   (2,2,2)       (+,+,+)       
  4  7   3   2   60   4   (2,2,2,2)     (+,+,+,+)     
  2  8   7   2   64   1   (2)           (+)           
  2  8   7   2   36   1   (4)           (+)           
  2  8   6   2   96   2   (2,2)         (+,+)         
  2  8   6   2   80   2   (2,4)         (+,+)         
  3  8   5   2   112  3   (2,2,2)       (+,+,+)       
  4  8   4   2   120  4   (2,2,2,2)     (+,+,+,+)     

=== Case B - Case A: factories needing sign flips ===
  (no factories found)
