l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
3,14,1,2,1,1,,1,,T0,4,1,1,,two-group
3,15,1,3,1,1,,1,,T0,5,2,1,,two-group
3,30,1,2,1,1,,1,,T0,5,1,1,,two-group
3,31,1,3,1,1,,1,,T0,6,2,1,,two-group
3,62,1,2,1,1,,1,,T0,6,1,1,,two-group
3,63,1,3,1,1,,1,,T0,7,2,1,,two-group
3,126,1,2,1,1,,1,,T0,7,1,1,,two-group
3,127,1,3,1,1,,1,,T0,8,2,1,,two-group
3,135,1,5,1,1,,1,,T0,9,4,1,,two-group
3,254,1,2,1,1,,1,,T0,8,1,1,,two-group
3,255,1,3,1,1,,1,,T0,9,2,1,,two-group
3,271,1,5,1,1,,1,,T0,10,4,1,,two-group
3,510,1,2,1,1,,1,,T0,9,1,1,,two-group
3,511,1,3,1,1,,1,,T0,10,2,1,,two-group
3,527,1,5,1,1,,1,,T0,11,4,1,,two-group
3,1022,1,2,1,1,,1,,T0,10,1,1,,two-group
3,1023,1,3,1,1,,1,,T0,11,2,1,,two-group
3,2046,1,2,1,1,,1,,T0,11,1,1,,two-group
3,12,2,2,2,2,,3,,CS01,4,1,1,,two-group + symmetry-free
3,14,2,2,1,2,,2,,T0+T1,5,2,1,,two-group + symmetry-free
3,28,2,2,2,2,,3,,CS01,5,1,1,,two-group
3,30,2,2,1,2,,2,,T0+T1,6,2,1,,two-group
3,45,2,2,1,2,,2,,T0+T1,6,1,2,,two-group
3,46,2,2,1,2,,2,,T0+T1,7,2,2,,two-group
3,60,2,2,2,2,,3,,CS01,6,1,1,,two-group
3,62,2,2,1,2,,2,,T0+T1,7,2,1,,two-group
3,93,2,2,1,2,,2,,T0+T1,7,1,2,,two-group
3,94,2,2,1,2,,2,,T0+T1,8,2,2,,two-group
3,124,2,2,2,2,,3,,CS01,7,1,1,,two-group
3,126,2,2,1,2,,2,,T0+T1,8,2,1,,two-group
3,134,2,2,1,2,,2,,T0+T1,9,4,1,,two-group
3,189,2,2,1,2,,2,,T0+T1,8,1,2,,two-group
3,190,2,2,1,2,,2,,T0+T1,9,2,2,,two-group
3,252,2,2,2,2,,3,,CS01,8,1,1,,two-group
3,254,2,2,1,2,,2,,T0+T1,9,2,1,,two-group
3,270,2,2,1,2,,2,,T0+T1,10,4,1,,two-group
3,381,2,2,1,2,,2,,T0+T1,9,1,2,,two-group
3,382,2,2,1,2,,2,,T0+T1,10,2,2,,two-group
3,406,2,2,1,2,,2,,T0+T1,11,4,2,,two-group
3,508,2,2,2,2,,3,,CS01,9,1,1,,two-group
3,510,2,2,1,2,,2,,T0+T1,10,2,1,,two-group
3,526,2,2,1,2,,2,,T0+T1,11,4,1,,two-group
3,765,2,2,1,2,,2,,T0+T1,10,1,2,,two-group
3,766,2,2,1,2,,2,,T0+T1,11,2,2,,two-group
3,1020,2,2,2,2,,3,,CS01,10,1,1,,two-group
3,1022,2,2,1,2,,2,,T0+T1,11,2,1,,two-group
3,1533,2,2,1,2,,2,,T0+T1,11,1,2,,two-group
3,2044,2,2,2,2,,3,,CS01,11,1,1,,two-group
3,8,3,2,3,3,,7,,CCZ012,4,1,1,,two-group + symmetry-free
3,12,3,2,2,3,,4,,CS01+CS02,5,2,1,,two-group
3,20,3,2,2,3,,4,,CS01+T2,6,,,2+1,symmetry-free
3,24,3,2,3,3,,7,,CCZ012,5,1,1,,two-group
3,28,3,2,1,3,,3,,T0+T1+T2,6,1,3,,two-group
3,29,3,2,1,3,,3,,T0+T1+T2,7,2,3,,two-group
3,56,3,2,3,3,,7,,CCZ012,6,1,1,,two-group
3,60,3,2,1,3,,3,,T0+T1+T2,7,1,3,,two-group
3,61,3,2,1,3,,3,,T0+T1+T2,8,2,3,,two-group
3,75,3,2,2,3,,4,,CS01+CS02,7,1,2,,two-group
3,76,3,2,2,3,,4,,CS01+CS02,8,2,2,,two-group
3,120,3,2,3,3,,7,,CCZ012,7,1,1,,two-group
3,124,3,2,1,3,,3,,T0+T1+T2,8,1,3,,two-group
3,125,3,2,1,3,,3,,T0+T1+T2,9,2,3,,two-group
3,133,3,2,1,3,,3,,T0+T1+T2,9,4,1,,two-group
3,155,3,2,2,3,,4,,CS01+CS02,8,1,2,,two-group
3,156,3,2,2,3,,4,,CS01+CS02,9,2,2,,two-group
3,248,3,2,3,3,,7,,CCZ012,8,1,1,,two-group
3,252,3,2,1,3,,3,,T0+T1+T2,9,1,3,,two-group
3,253,3,2,1,3,,3,,T0+T1+T2,10,2,3,,two-group
3,269,3,2,1,3,,3,,T0+T1+T2,10,4,1,,two-group
