l,N,k,d,degree,essential_dim,decomposition,n,s_total,s_O,parts,search
4,30,1,2,1,1,sqrtT0,5,1,1,,two-group
4,31,1,3,1,1,sqrtT0,6,2,1,,two-group
4,62,1,2,1,1,sqrtT0,6,1,1,,two-group
4,63,1,3,1,1,sqrtT0,7,2,1,,two-group
4,126,1,2,1,1,sqrtT0,7,1,1,,two-group
4,127,1,3,1,1,sqrtT0,8,2,1,,two-group
4,254,1,2,1,1,sqrtT0,8,1,1,,two-group
4,255,1,3,1,1,sqrtT0,9,2,1,,two-group
4,510,1,2,1,1,sqrtT0,9,1,1,,two-group
4,511,1,3,1,1,sqrtT0,10,2,1,,two-group
4,527,1,5,1,1,sqrtT0,11,4,1,,two-group
4,1022,1,2,1,1,sqrtT0,10,1,1,,two-group
4,1023,1,3,1,1,sqrtT0,11,2,1,,two-group
4,2046,1,2,1,1,sqrtT0,11,1,1,,two-group
4,28,2,2,2,2,CT01,5,1,1,,two-group + symmetry-free
4,30,2,2,1,2,sqrtT0+sqrtT1,6,2,1,,two-group + symmetry-free
4,60,2,2,2,2,CT01,6,1,1,,two-group
4,62,2,2,1,2,sqrtT0+sqrtT1,7,2,1,,two-group
4,93,2,2,1,2,sqrtT0+sqrtT1,7,1,2,,two-group
4,94,2,2,1,2,sqrtT0+sqrtT1,8,2,2,,two-group
4,124,2,2,2,2,CT01,7,1,1,,two-group
4,126,2,2,1,2,sqrtT0+sqrtT1,8,2,1,,two-group
4,189,2,2,1,2,sqrtT0+sqrtT1,8,1,2,,two-group
4,190,2,2,1,2,sqrtT0+sqrtT1,9,2,2,,two-group
4,252,2,2,2,2,CT01,8,1,1,,two-group
4,254,2,2,1,2,sqrtT0+sqrtT1,9,2,1,,two-group
4,381,2,2,1,2,sqrtT0+sqrtT1,9,1,2,,two-group
4,382,2,2,1,2,sqrtT0+sqrtT1,10,2,2,,two-group
4,508,2,2,2,2,CT01,9,1,1,,two-group
4,510,2,2,1,2,sqrtT0+sqrtT1,10,2,1,,two-group
4,526,2,2,1,2,sqrtT0+sqrtT1,11,4,1,,two-group
4,765,2,2,1,2,sqrtT0+sqrtT1,10,1,2,,two-group
4,766,2,2,1,2,sqrtT0+sqrtT1,11,2,2,,two-group
4,1020,2,2,2,2,CT01,10,1,1,,two-group
4,1022,2,2,1,2,sqrtT0+sqrtT1,11,2,1,,two-group
4,1533,2,2,1,2,sqrtT0+sqrtT1,11,1,2,,two-group
4,2044,2,2,2,2,CT01,11,1,1,,two-group
4,24,3,2,3,3,CCS012,5,1,1,,two-group + symmetry-free
4,28,3,2,2,3,CT01+CT02,6,2,1,,two-group
4,44,3,2,2,3,CT01+sqrtT2,7,,,2+1,symmetry-free
4,56,3,2,3,3,CCS012,6,1,1,,two-group
4,60,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,7,1,3,,two-group
4,61,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,8,2,3,,two-group
4,120,3,2,3,3,CCS012,7,1,1,,two-group
4,124,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,8,1,3,,two-group
4,125,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,9,2,3,,two-group
4,155,3,2,2,3,CT01+CT02,8,1,2,,two-group
4,156,3,2,2,3,CT01+CT02,9,2,2,,two-group
4,248,3,2,3,3,CCS012,8,1,1,,two-group
4,252,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,9,1,3,,two-group
4,253,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,10,2,3,,two-group
4,315,3,2,2,3,CT01+CT02,9,1,2,,two-group
4,316,3,2,2,3,CT01+CT02,10,2,2,,two-group
4,504,3,2,3,3,CCS012,9,1,1,,two-group
4,508,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,10,1,3,,two-group
4,509,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,11,2,3,,two-group
4,525,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,11,4,1,,two-group
4,635,3,2,2,3,CT01+CT02,10,1,2,,two-group
4,636,3,2,2,3,CT01+CT02,11,2,2,,two-group
4,1016,3,2,3,3,CCS012,10,1,1,,two-group
4,1020,3,2,1,3,sqrtT0+sqrtT1+sqrtT2,11,1,3,,two-group
4,1275,3,2,2,3,CT01+CT02,11,1,2,,two-group
4,2040,3,2,3,3,CCS012,11,1,1,,two-group
4,16,4,2,4,4,CCCZ0123,5,1,1,,two-group + symmetry-free
4,24,4,2,3,4,CCS012+CCS013+CCS023+CCS123,6,2,1,,two-group
4,42,4,2,2,4,CT01+CT02+CT13,7,1,3,,two-group
4,42,4,2,2,4,CT01+CT23,7,,,2+2,symmetry-free
4,44,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,8,2,3,,two-group
4,48,4,2,4,4,CCCZ0123,6,1,1,,two-group
4,48,4,2,3,4,CCS012+sqrtT3,8,,,3+1,symmetry-free
4,50,4,2,2,4,CT01+sqrtT2+sqrtT3,8,,,2+1+1,symmetry-free
4,56,4,2,3,4,CCS012+CCS013+CCS023+CCS123,7,2,1,,two-group
4,60,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,8,,,1+1+1+1,symmetry-free
4,90,4,2,2,4,CT01+CT02+CT13,8,1,3,,two-group
4,92,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,9,2,3,,two-group
4,112,4,2,4,4,CCCZ0123,7,1,1,,two-group
4,120,4,2,3,4,CCS012+CCS013+CCS023+CCS123,8,2,1,,two-group
4,155,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,9,1,4,,two-group
4,156,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,10,2,4,,two-group
4,186,4,2,2,4,CT01+CT02+CT13,9,1,3,,two-group
4,188,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,10,2,3,,two-group
4,240,4,2,4,4,CCCZ0123,8,1,1,,two-group
4,248,4,2,3,4,CCS012+CCS013+CCS023+CCS123,9,2,1,,two-group
4,279,4,2,3,4,CCS012+CCS013+CCS023+CCS123,9,1,2,,two-group
4,280,4,2,3,4,CCS012+CCS013+CCS023+CCS123,10,2,2,,two-group
4,315,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,10,1,4,,two-group
4,316,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,11,2,4,,two-group
4,378,4,2,2,4,CT01+CT02+CT13,10,1,3,,two-group
4,380,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,11,2,3,,two-group
4,496,4,2,4,4,CCCZ0123,9,1,1,,two-group
4,504,4,2,3,4,CCS012+CCS013+CCS023+CCS123,10,2,1,,two-group
4,524,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,11,4,1,,two-group
4,567,4,2,3,4,CCS012+CCS013+CCS023+CCS123,10,1,2,,two-group
4,568,4,2,3,4,CCS012+CCS013+CCS023+CCS123,11,2,2,,two-group
4,635,4,2,1,4,sqrtT0+sqrtT1+sqrtT2+sqrtT3,11,1,4,,two-group
4,762,4,2,2,4,CT01+CT02+CT13,11,1,3,,two-group
4,1008,4,2,4,4,CCCZ0123,10,1,1,,two-group
4,1016,4,2,3,4,CCS012+CCS013+CCS023+CCS123,11,2,1,,two-group
4,1143,4,2,3,4,CCS012+CCS013+CCS023+CCS123,11,1,2,,two-group
4,2032,4,2,4,4,CCCZ0123,11,1,1,,two-group
4,16,5,2,4,4,CCCZ0123,6,2,1,,two-group
4,44,5,2,3,5,CCS01234(10+10+5 terms),9,,,4+1,symmetry-free
4,46,5,2,3,5,CCS012+CT34,8,,,3+2,symmetry-free
4,48,5,2,4,4,CCCZ0123,7,2,1,,two-group
4,50,5,2,3,5,CCS012+sqrtT3+sqrtT4,9,,,3+1+1,symmetry-free
4,60,5,2,2,5,CT01+CT23+sqrtT4,9,,,2+2+1,symmetry-free
4,66,5,2,2,5,CT01+sqrtT2+sqrtT3+sqrtT4,9,,,2+1+1+1,symmetry-free
4,90,5,2,1,5,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4,9,1,5,,two-group
4,91,5,2,1,5,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4,10,2,5,,two-group
4,112,5,2,4,4,CCCZ0123,8,2,1,,two-group
4,186,5,2,1,5,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4,10,1,5,,two-group
4,187,5,2,1,5,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4,11,2,5,,two-group
4,217,5,2,2,5,CT02+CT03+CT13+CT24,10,1,4,,two-group
4,218,5,2,2,5,CT02+CT03+CT13+CT24,11,2,4,,two-group
4,240,5,2,4,4,CCCZ0123,9,2,1,,two-group
4,341,5,2,3,5,CCS01234(5+1+2 terms),10,1,3,,two-group
